IDJobVacancy,Source,Medium,Campaign,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,OverallConversionRate,EngagementApplicationRate
316285,,,,5472,1220,10,0,1230,6702,0.00,0.00
316285,agregadores,cpc,bsa,1,0,0,0,0,1,0.00,0.00
316285,banner,home,site,1,0,0,0,0,1,0.00,0.00
316285,chatgpt.com,,,189,33,0,0,33,222,0.00,0.00
316285,email,email,Oferta de empelo,1,0,0,0,0,1,0.00,0.00
316285,email,get_response,DailyJobs,5,0,1,0,1,6,0.00,0.00
316285,email,get_response,system,3,2,2,0,4,7,0.00,0.00
316285,Get_Response,email,welcome,1,0,0,0,0,1,0.00,0.00
316285,getResponse,email,alertas,1,0,0,0,0,1,0.00,0.00
316285,google,cpc,b2b_nobranded,4,3,0,0,3,7,0.00,0.00
316285,google,cpc,b2c_cocina,1,1,0,0,1,2,0.00,0.00
316285,jooble,cpc,invierno,1,0,0,0,0,1,0.00,0.00
316285,jooble,cpc,mantenimiento,1,0,0,0,0,1,0.00,0.00
316285,jooble,cpc,No_Application_Segment,1,0,0,0,0,1,0.00,0.00
316285,jooble,cpc,paid,2,0,0,0,0,2,0.00,0.00
316285,link,get_response,DailyJobs,8,0,0,0,0,8,0.00,0.00
316285,link,whatsapp,DailyJobs,2,0,0,0,0,2,0.00,0.00
316285,link,whatsapp,OfferCampaign,1,0,0,0,0,1,0.00,0.00
316285,perplexity,,,2,0,0,0,0,2,0.00,0.00
316285,talent,cpc,Agregadores,1,0,0,0,0,1,0.00,0.00
316286,,,,1164,273,0,0,273,1437,0.00,0.00
316286,chatgpt.com,,,22,8,0,0,8,30,0.00,0.00
316286,chatgpt.com,email,automation,1,1,0,0,1,2,0.00,0.00
316286,email,get_response,DailyJobs,13,4,0,0,4,17,0.00,0.00
316286,email,get_response,system,1,0,0,0,0,1,0.00,0.00
316286,google,cpc,b2b_nobranded,1,0,0,0,0,1,0.00,0.00
316286,Indeed,Organic,Organic,2,2,0,0,2,4,0.00,0.00
316286,jooble,cpc,mantenimiento,2,0,0,0,0,2,0.00,0.00
316286,link,get_response,DailyJobs,7,2,0,0,2,9,0.00,0.00
316286,link,whatsapp,,1,4,0,0,4,5,0.00,0.00
316286,link,whatsapp,DailyJobs,20,9,0,0,9,29,0.00,0.00
316287,,,,3846,1022,16,0,1038,4884,0.00,0.00
316287,adzuna-cpc,cpc,Agregadores,1,0,0,0,0,1,0.00,0.00
316287,agregadores,cpc,bsa,4,2,0,0,2,6,0.00,0.00
316287,banner,home,site,2,0,0,0,0,2,0.00,0.00
316287,chatgpt.com,,,263,125,0,0,125,388,0.00,0.00
316287,email,email,Oferta de empelo,1,0,0,0,0,1,0.00,0.00
316287,email,get_response,DailyJobs,1,0,0,0,0,1,0.00,0.00
316287,email,get_response,system,3,0,0,0,0,3,0.00,0.00
316287,Get_Response,email,welcome,1,0,0,0,0,1,0.00,0.00
316287,getResponse,email,alertas,1,0,0,0,0,1,0.00,0.00
316287,google,cpc,b2b_nobranded,2,1,0,0,1,3,0.00,0.00
316287,google,cpc,b2c_cocina,1,0,0,0,0,1,0.00,0.00
316287,Indeed,Organic,Organic,4,0,0,0,0,4,0.00,0.00
316287,jooble,cpc,invierno,1,0,0,0,0,1,0.00,0.00
316287,jooble,cpc,No_Application_Segment,4,1,0,0,1,5,0.00,0.00
316287,jooble,cpc,paid,4,1,0,0,1,5,0.00,0.00
316287,link,get_response,DailyJobs,7,0,0,0,0,7,0.00,0.00
316287,link,whatsapp,DailyJobs,5,2,1,0,3,8,0.00,0.00
316287,link,whatsapp,OfferCampaign,3,0,0,0,0,3,0.00,0.00
316287,perplexity,,,4,2,0,0,2,6,0.00,0.00
