Source,TotalListImpressions,TotalDetailViews,TotalPageVisits,TotalApplications,TotalEngagements,TotalTouchpoints,OverallConversionRate,EngagementApplicationRate
,2881195,600756,17716,20224,618472,3499667,0.58,3.27
link,169631,42213,16562,8102,58775,228406,3.55,13.78
email,52396,9883,13166,4458,23049,75445,5.91,19.34
talent,68853,16838,3663,3793,20501,89354,4.24,18.50
jooble,55817,13648,3436,3134,17084,72901,4.30,18.34
Indeed,13128,3178,1041,1431,4219,17347,8.25,33.92
chatgpt.com,38606,10234,253,510,10487,49093,1.04,4.86
google_jobs_apply,11077,2631,459,466,3090,14167,3.29,15.08
google,10813,2754,181,171,2935,13748,1.24,5.83
adzuna-cpc,2965,746,182,142,928,3893,3.65,15.30
agregadores,4419,1226,87,124,1313,5732,2.16,9.44
getResponse,2767,720,106,72,826,3593,2.00,8.72
whatjobs,1948,463,59,63,522,2470,2.55,12.07
Get_Response,2182,486,37,53,523,2705,1.96,10.13
telegram,1129,232,17,15,249,1378,1.09,6.02
banner,206,65,2,4,67,273,1.47,5.97
emailmedium=email,356,80,9,3,89,445,0.67,3.37
jobrapido,9,2,3,1,5,14,7.14,20.00
Interno,17,1,0,0,1,18,0.00,0.00
gr,1,0,0,0,0,1,0.00,0.00
blog,417,50,0,0,50,467,0.00,0.00
ig,26,16,0,0,16,42,0.00,0.00
linkedin,87,12,0,0,12,99,0.00,0.00
wonderkind,10,0,0,0,0,10,0.00,0.00
stepstone,3,0,0,0,0,3,0.00,0.00
segmentado,3,0,0,0,0,3,0.00,0.00
instagram,17,5,0,0,5,22,0.00,0.00
criteo,8,1,0,0,1,9,0.00,0.00
perplexity,258,55,0,0,55,313,0.00,0.00
Simplyhired,50,0,0,0,0,50,0.00,0.00
"jooble,jooble",15,3,0,0,3,18,0.00,0.00
openai,2,1,0,0,1,3,0.00,0.00
jooble&utm_medium=cpc&utm_campaign=paid&utm_away=esMzE1NHw1NDE1MDc2ODQ0MjY1MjAxMjY3fDQ2MDQz,3,1,0,0,1,4,0.00,0.00
twitterfeed,17,10,0,0,10,27,0.00,0.00
email/,1,0,0,0,0,1,0.00,0.00
hosteltur,22,10,0,0,10,32,0.00,0.00
copilot.com,205,44,0,0,44,249,0.00,0.00
blog-pt,19,3,0,0,3,22,0.00,0.00
