OfferId,Title,JobTitleDenomination,CompanyName,SectorName,StatusName,TotalListImpressions,TotalDetailViews,TotalPageVisits,TotalApplications,TotalEngagements,TotalTouchpoints,OverallConversionRate,EngagementApplicationRate
316095,Front Desk Agent – Four Points Flex by Sheraton Málaga Centre,Recepcionista,Continuum Hotel Management,Cadena hotelera,Active,18075,4979,375,377,5354,23429,1.61,7.04
315471,Recepcionista Hoteles Madrid,Recepcionista,Soho Boutique Hotels,Cadena hotelera,Expired,15982,5878,332,277,6210,22192,1.25,4.46
315458,Recepcionista Hostel Málaga,Recepcionista,Room00 Hotels & Hostels,Cadena hotelera,Expired,9396,880,195,251,1075,10471,2.40,23.35
315847,"Camarero/a Pisos para Hotel en Madrid ",Camarero de Pisos,Grupo Ummana,Outsourcing / externalización de servicios,Active,7127,3068,233,238,3301,10428,2.28,7.21
315833,Camarero/a Pisos. Hotel Querencia de Sevilla. (Sustitucion larga duración),Camarero de Pisos,ACHM Hotels by Marriott,Cadena hotelera,Active,12301,3121,268,232,3389,15690,1.48,6.85
315732,Conserje para Residencias de estudiantes en Madrid,Conserje,Grupo Ummana,Empresa de selección / ETT,Expired,9774,3027,257,231,3284,13058,1.77,7.03
315587,Camarero/a de pisos - Ibis Budget Madrid Centro Lavapiés,Camarero de Pisos,Continuum Hotel Management,Hostal / Pensión,Expired,8260,1918,224,228,2142,10402,2.19,10.64
315613,Recepcionista — Hotel Boutique deLuna · Granada,Recepcionista de Hotel,deLuna Hotels,Cadena hotelera,Expired,5482,1074,296,227,1370,6852,3.31,16.57
315942,RECEPCIONISTA DÍA/NOCHE SEVILLA,Recepcionista,Room00 Hotels & Hostels,Cadena hotelera,Active,7708,2260,240,226,2500,10208,2.21,9.04
316061,Recepcionista para Hotel en Alicante,Recepcionista de Hotel,Grupo Ummana,Empresa de selección / ETT,Active,14054,5884,204,218,6088,20142,1.08,3.58
315276,Recepcionista,Recepcionista,Marugal,Consultoría,Closed,5046,566,119,217,685,5731,3.79,31.68
315762,Conserje / Recepcionista Apartamentos - Madrid,Conserje,Apartamentos Juan Bravo,Hotel independiente,Expired,6359,1099,289,207,1388,7747,2.67,14.91
315456,RECEPCIONISTA NOCHE HOSTEL MÁLAGA,Recepcionista,Room00 Hotels & Hostels,Cadena hotelera,Expired,11113,1475,152,205,1627,12740,1.61,12.60
315744,Recepcionista - AC Hotel Alcalá de Henares,Recepcionista,ACHM Hotels by Marriott,Cadena hotelera,Expired,14003,6027,184,203,6211,20214,1.00,3.27
315868,Recepcionista Hostel día/noche,Recepcionista,Room00 Hotels & Hostels,Cadena hotelera,Active,7637,763,160,199,923,8560,2.32,21.56
316226,RECEPCIONISTA DE HOTEL,Recepcionista,Hotel Holiday Inn Express Madrid - SS Reyes InterContinental,Cadena hotelera,Active,7503,884,130,198,1014,8517,2.32,19.53
316153,Recepcionista en H10 Art Gallery,Recepcionista de Hotel,H10 Hotels,Cadena hotelera,Active,4007,734,95,188,829,4836,3.89,22.68
315632,Recepcionista en voco Madrid - Las Tablas,Recepcionista,Hotel Collection International,Cadena hotelera,Expired,8122,801,217,186,1018,9140,2.04,18.27
316244,Recepcionista - Melia Sierra Nevada,Recepcionista,Meliá Hotels International,No especificado,Active,4686,887,121,181,1008,5694,3.18,17.96
315944,"Recepcionista ",Recepcionista,Casa Bombo,Hostal / Pensión,Expired,4009,727,155,180,882,4891,3.68,20.41
316099,Camarera/o de pisos en H10 Urquinaona Plaza,Camarero de Pisos,H10 Hotels,Cadena hotelera,Active,4999,454,144,178,598,5597,3.18,29.77
316302,Ayudante de Camarero/a Servicio Desayuno en Hotel,Ayudante de Camarero,Grupo Ummana,Empresa de selección / ETT,Active,6292,2757,149,177,2906,9198,1.92,6.09
315855,Recepcionista en SLEEP'N Valencia,Recepcionista,SLEEP'N,Cadena hotelera,Expired,5183,599,152,177,751,5934,2.98,23.57
315611,Camarero/a de pisos hotel 5 estrellas,Camarero de Pisos,Lamaro Hotel,Hotel independiente,Expired,5709,699,137,175,836,6545,2.67,20.93
