Area,City,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Housekeeping,Lisboa,Lisboa,Indeed,1324,367,329,440,696,2020,7,21.78,34.46
Reception,Madrid,Madrid,link,8343,1860,427,414,2287,10630,41,3.89,21.51
Kitchen,Barcelona,Barcelona,link,4457,610,724,380,1334,5791,44,6.56,23.04
Reception,Barcelona,Barcelona,link,5271,1217,263,352,1480,6751,37,5.21,21.92
Housekeeping,Barcelona,Barcelona,link,2674,503,172,289,675,3349,14,8.63,20.16
Reception,Madrid,Madrid,email,2760,508,638,286,1146,3906,41,7.32,29.34
Waiting staff,Barcelona,Barcelona,link,4263,916,250,280,1166,5429,30,5.16,21.48
Housekeeping,Madrid,Madrid,link,2256,283,181,231,464,2720,8,8.49,17.06
Housekeeping,Madrid,Madrid,jooble,935,238,235,215,473,1408,8,15.27,33.59
Waiting staff,Málaga,Málaga,link,1332,317,146,199,463,1795,5,11.09,25.79
Kitchen,Barcelona,Barcelona,talent,2410,606,163,189,769,3179,46,5.95,24.19
Reception,Madrid,Madrid,jooble,2271,615,158,186,773,3044,41,6.11,25.39
Waiting staff,València,Valencia,talent,990,277,139,155,416,1406,8,11.02,29.59
Kitchen,Palma de Mallorca,Islas Baleares,talent,1355,301,178,152,479,1834,14,8.29,26.12
Maintenance,Barcelona,Barcelona,link,2180,436,387,145,823,3003,22,4.83,27.41
Waiting staff,Palma de Mallorca,Islas Baleares,link,2827,659,301,145,960,3787,13,3.83,25.35
Kitchen,Madrid,Madrid,link,2238,353,526,144,879,3117,20,4.62,28.20
Reception,Barcelona,Barcelona,jooble,1438,482,134,142,616,2054,37,6.91,29.99
Waiting staff,Málaga,Málaga,talent,707,230,119,138,349,1056,5,13.07,33.05
Waiting staff,Lisbon,Arroios,Indeed,182,107,115,132,222,404,1,32.67,54.95
Kitchen,Palma de Mallorca,Islas Baleares,link,3093,658,273,131,931,4024,14,3.26,23.14
Waiting staff,Madrid,Madrid,link,2524,226,238,130,464,2988,21,4.35,15.53
Reception,Barcelona,Barcelona,talent,1224,282,114,130,396,1620,37,8.02,24.44
Housekeeping,Sevilla,Sevilla,link,503,92,259,125,351,854,4,14.64,41.10
Reception,Barcelona,Barcelona,email,1930,382,308,120,690,2620,37,4.58,26.34
