Sector,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Hotel Chain,Islas Baleares,link,21176,6768,920,600,7688,28864,105,2.08,26.64
Hotel Chain,Barcelona,link,7879,1594,815,545,2409,10288,75,5.30,23.42
Independent Hotel,Lisboa,Indeed,2476,688,424,532,1112,3588,21,14.83,30.99
Not specified,Barcelona,link,7609,909,490,496,1399,9008,100,5.51,15.53
Hotel Chain,Madrid,link,9737,2515,710,487,3225,12962,50,3.76,24.88
Hotel Chain,Islas Baleares,talent,6662,1806,366,382,2172,8834,105,4.32,24.59
Hotel Chain,Islas Baleares,email,4011,826,1016,349,1842,5853,106,5.96,31.47
Hotel Chain,Islas Baleares,jooble,4983,1131,317,333,1448,6431,106,5.18,22.52
Not specified,Madrid,link,6506,717,548,308,1265,7771,65,3.96,16.28
Hotel Chain,Málaga,link,4248,1477,385,271,1862,6110,31,4.44,30.47
Not specified,Santa Cruz de Tenerife,link,4125,742,884,266,1626,5751,77,4.63,28.27
Not specified,Islas Baleares,link,8908,1020,535,255,1555,10463,103,2.44,14.86
Not specified,Las Palmas,link,3384,613,657,250,1270,4654,72,5.37,27.29
Not specified,Málaga,link,2742,532,255,243,787,3529,20,6.89,22.30
Hotel Chain,Madrid,jooble,3484,926,286,238,1212,4696,50,5.07,25.81
Hotel Chain,Madrid,email,3016,609,608,235,1217,4233,50,5.55,28.75
Hotel Chain,Santa Cruz de Tenerife,link,2807,465,566,232,1031,3838,56,6.04,26.86
Hotel Chain,Barcelona,talent,2500,537,191,229,728,3228,74,7.09,22.55
Hotel Chain,Valencia,talent,1560,399,184,220,583,2143,23,10.27,27.20
Hotel Chain,Barcelona,email,2184,385,598,208,983,3167,75,6.57,31.04
Not specified,Barcelona,email,1910,241,493,203,734,2644,93,7.68,27.76
Hotel Chain,Madrid,talent,2937,669,208,195,877,3814,50,5.11,22.99
Independent Hotel,Lisboa,email,1360,221,518,190,739,2099,21,9.05,35.21
Not specified,Islas Baleares,email,1777,177,597,183,774,2551,102,7.17,30.34
Not specified,Madrid,jooble,2222,300,144,182,444,2666,66,6.83,16.65
