Sector,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Hotel Chain,link,65476,18651,5844,3207,24495,89971,583,3.56,27.23
Not specified,link,41230,6055,4578,2241,10633,51863,780,4.32,20.50
Hotel Chain,talent,24442,5967,1713,1761,7680,32122,566,5.48,23.91
Hotel Chain,email,17859,3391,4948,1680,8339,26198,578,6.41,31.83
Hotel Chain,jooble,20408,5017,1580,1489,6597,27005,561,5.51,24.43
Not specified,email,10642,1296,3398,1241,4694,15336,741,8.09,30.61
Independent Hotel,link,17154,4432,1920,1021,6352,23506,185,4.34,27.02
Not specified,talent,13175,2008,669,833,2677,15852,675,5.25,16.89
Independent Hotel,Indeed,5987,1607,583,801,2190,8177,100,9.80,26.78
Independent Hotel,email,7982,1461,2397,761,3858,11840,184,6.43,32.58
Not specified,jooble,12961,2166,679,681,2845,15806,686,4.31,18.00
Independent Hotel,talent,6829,1553,484,492,2037,8866,177,5.55,22.98
Independent Hotel,jooble,4358,1059,405,324,1464,5822,168,5.57,25.15
Hotel Chain,Indeed,2667,562,203,292,765,3432,191,8.51,22.29
Restaurant Chain,link,4746,1002,977,203,1979,6725,21,3.02,29.43
Hotel Chain,google_jobs_apply,4318,1081,233,202,1314,5632,505,3.59,23.33
Hotel Chain,chatgpt.com,12088,3146,92,182,3238,15326,570,1.19,21.13
Restaurant,link,2508,514,192,156,706,3214,28,4.85,21.97
Restaurant Chain,talent,2751,696,139,155,835,3586,21,4.32,23.28
Restaurant,Indeed,777,155,136,153,291,1068,18,14.33,27.25
Restaurant Chain,jooble,1952,511,203,153,714,2666,20,5.74,26.78
Business group,link,4064,730,642,150,1372,5436,52,2.76,25.24
Outsourcing / externalization of services,link,1519,524,101,144,625,2144,6,6.72,29.15
Tourist apartments,link,1294,289,284,143,573,1867,19,7.66,30.69
0,link,19603,6398,535,136,6933,26536,169,0.51,26.13
